Nom de la référence,Client,Année,Type de projet,Description courte,Description longue,Compétences mobilisées,Réalisé par,Porté par Macao,Lien / dossier,Images / portfolio,Utilisable AO,Niveau de pertinence,Secteur,Montant approximatif,Contact référence,Opportunités liées,Notes
Boussole des Jeunes 47,À compléter,2024,Dispositif / communication,Accompagnement de communication jeunesse,Projet d’accompagnement éditorial et visuel pour un dispositif jeunesse local,"communication; identité; accompagnement projet",Macao,Oui,À renseigner,À renseigner,Oui,Élevé,Jeunesse,À compléter,À compléter,Campagne de communication jeunesse,Bonne base pour AO jeunesse
Radio Campus 47,À compléter,2024,Média / communication,Supports de communication et animation,"Projet autour de la visibilité, des contenus et de l’animation de communauté","contenu; graphisme; animation",Macao,Oui,À renseigner,À renseigner,Oui,Élevé,Média associatif,À compléter,À compléter,Campagne de communication jeunesse,Référence utile pour des projets éditoriaux
Wild Bus,À compléter,2023,Projet culturel / itinérance,Dispositif mobile et valorisation,"Projet avec composante itinérante, événementielle et de médiation","coordination; communication; terrain",Macao,Oui,À renseigner,À renseigner,Oui,Moyen,Culture,À compléter,À compléter,Installation signalétique et kit de communication,Intéressant pour des marchés événementiels
Mouvement Jeunesse Monte Le Son,À compléter,2024,Projet jeunesse / événementiel,Projet d’animation et de communication,"Dispositif collectif mêlant communication, mobilisation et événementiel","animation; éditorial; coordination",Macao,Oui,À renseigner,À renseigner,Oui,Élevé,Jeunesse,À compléter,À compléter,Campagne de communication jeunesse,Bonne preuve de capacité à fédérer
Unir le monde du son et du silence,À compléter,2023,Projet culturel,Projet de sensibilisation et de création,Projet artistique avec dimension médiation et communication,"conception; rédaction; coordination",Macao,Oui,À renseigner,À renseigner,Oui,Moyen,Culture,À compléter,À compléter,Campagne de communication jeunesse,Référence de narration de projet
Le 10 Coworking,Le 10,2025,Tiers-lieu / animation,Animation de communauté et valorisation du lieu,Dispositif de communication et d’animation interne/externe,"animation; graphisme; événementiel",Macao,Oui,À renseigner,À renseigner,Oui,Élevé,Coworking,À compléter,À compléter,Installation signalétique et kit de communication,Référence centrale pour le réseau
Agence Macao — identité et communication,Agence Macao,2025,Identité / branding,Identité visuelle et communication d’agence,Base de référence de l’image de Macao pour les réponses AO,"identité; branding; édition",Macao,Oui,À renseigner,À renseigner,Oui,Élevé,Communication,À compléter,À compléter,Campagne de communication jeunesse,À garder systématiquement mobilisable
Projets associatifs jeunesse / culture,À compléter,2024,Collectif,Ensemble de réalisations associatives,Ensemble de références réutilisables pour des appels d’offres,"gestion; contenu; événementiel",Macao,Oui,À renseigner,À renseigner,Oui,Élevé,Associatif,À compléter,À compléter,Campagne de communication jeunesse,Catégorie réutilisable à détailler
Sites web clients,À compléter,2025,Web,Créations de sites vitrines,Portfolio de sites web et accompagnements digitaux,"web; UX; contenu",Macao,Oui,À renseigner,À renseigner,Oui,Élevé,Web,À compléter,À compléter,Création d'un site pour association culturelle,Regrouper les cas les plus convaincants
Supports de communication institutionnelle,À compléter,2025,Institutionnel,Supports print et numériques,Ensemble de supports institutionnels réutilisables en réponse AO,"graphisme; mise en page; coordination",Macao,Oui,À renseigner,À renseigner,Oui,Élevé,Institutionnel,À compléter,À compléter,Installation signalétique et kit de communication,À documenter avec visuels et retours
